NAME,species,id,temp_treatment,time,abiotic_stress,PSII,PSI,Photosystems,Light_reactions,Photorespiration,Calvin_cycle,Rubisco,Cytochrome_b6f,CHO_metabolism,glycolysis,TCA/_org_transformation,mitochondrial_electron_transport/ATP_synthesis,lipid_metabolism,secondary_metabolism,hormone_metabolism,redox,polyamine_metabolism,signalling,protein_folding,HSPs,protein,DNA,RNA,stress,ATP_synthase_chloroplastic,D1,D2,Rubisco_activase
X7acam11..7acam11_151218.wiff..sample.1..,euccam,acam-11,home,heatwave,283.0936097,1491.060408,582.9357565,2073.996164,2812.374231,249.2826914,2921.472781,1771.617197,90.35327649,149.2585766,89.43962545,83.99527145,67.12140821,50.49633551,105.3774765,20.12290927,230.3007825,1.089486376,54.33305709,88.57972856,224.0589761,729.4087305,76.50731614,96.99623238,290.6275567,563.9224195,76.09469701,97.82022816,186.1886144
X9acam11..9acam11_151218.wiff..sample.1..,euccam,acam-11,home,post_1day,265.1670384,1911.583193,777.6347336,2689.217927,3723.979873,383.0285435,4320.486608,2796.863823,89.4701478,193.2318266,103.5418477,103.0065191,81.97094146,58.18569473,131.4151651,27.78229663,290.9579892,1.135413257,61.15513309,95.79358527,200.1472222,840.2220981,65.32577958,117.5991203,273.4635939,826.6843597,82.36722577,122.8630479,211.9553026
X14acam11..14acam11_151214.wiff..sample.1..,euccam,acam-11,home,post_6day,239.8238235,1705.721808,653.1728702,2358.894678,3197.660646,277.3494637,3368.26453,2021.892931,58.52366674,161.9124477,86.19296435,89.79843298,68.78041153,47.80767484,88.72160046,19.53948701,234.544407,0.95497091,61.14938212,57.92203704,155.7706647,726.478407,101.0271343,102.2907656,246.2731844,686.8120646,66.5346072,176.3358813,251.4106783
X1acam11..1acam11_151216.wiff..sample.1..,euccam,acam-11,home,pre_heatwave,201.9409088,1380.484493,553.3605022,1933.844995,2694.047118,234.905428,3027.479838,1832.436239,63.96703731,180.8632109,77.43763287,84.51398624,70.21663671,43.31776855,54.13093001,19.58996048,192.7410451,1.133527285,56.88343214,53.99748062,134.8508603,743.0208155,77.62749141,103.6384246,207.0502928,607.9096309,54.33190777,133.3624235,192.6741308
X7acam25..7acam25_151218.wiff..sample.1..,euccam,acam-25,warm,heatwave,361.071344,1487.628427,591.0202265,2078.648653,2792.54458,274.7430155,3212.214604,1951.980563,68.82873149,146.2317967,78.46353903,73.24340435,66.40389652,51.61758767,135.1537195,18.0239312,245.9092416,0.459338184,53.85809264,103.926734,312.4251464,712.7201452,64.19413126,87.04285528,369.3244744,558.7719244,71.87326404,116.4248374,220.117615
X9acam25..9acam25_151216.wiff..sample.1..,euccam,acam-25,warm,post_1day,285.2141044,1914.669268,723.4930826,2638.16235,3424.067221,322.1442182,3827.510806,2282.947534,83.03603602,174.107137,85.85451195,85.21559873,74.88101365,59.4679525,140.6347395,21.71063746,288.8062659,0.54019697,60.02963955,95.40911549,222.8889886,742.8178106,72.79961361,103.1117121,293.0426439,597.3722868,98.12101553,181.1628786,269.1142206
X14acam25..14acam25_151218.wiff..sample.1..,euccam,acam-25,warm,post_6day,205.2612752,1529.495896,655.9789006,2185.474796,2964.535305,269.4236639,2783.975996,1575.218312,77.09398533,182.3138424,75.67014229,76.02422374,75.2508167,58.95826803,125.0443982,20.19425017,242.6124679,0.628879548,54.23418117,59.06311983,151.0044235,651.9833795,61.66488769,98.82820481,210.5043039,634.2853521,74.6233747,117.4429754,184.8595153
X1acam25..1acam25_151218.wiff..sample.1..,euccam,acam-25,warm,pre_heatwave,147.7723213,1511.808142,638.1181468,2149.926289,2797.535451,219.5744032,2554.24692,1450.579433,72.20655058,178.5917097,64.79426068,66.93188761,63.20443685,43.47274616,84.40876256,19.24607842,197.1270783,0.596270918,45.17744269,44.55741284,97.91664191,557.2272596,51.53839629,86.1596959,151.4746253,487.9065209,72.63901543,121.5481553,139.9952825
X7acam27..7acam27_151218.wiff..sample.1..,euccam,acam-27,warm,heatwave,328.7582217,1571.584475,709.5482815,2281.132757,3125.596703,246.5524851,2802.096631,1678.755693,56.17326542,162.9664422,86.55140582,82.65283716,72.53955588,62.7039958,105.1788932,17.76904469,254.2291003,0.421858215,56.40205282,93.54976931,262.9229595,695.968163,76.2752962,96.62072526,336.5954262,693.8399302,77.79385157,113.9150051,171.9441937
X9acam27..9acam27_151216.wiff..sample.1..,euccam,acam-27,warm,post_1day,325.0731671,1678.328103,679.139894,2357.467997,3061.279352,264.9332702,2840.708476,1661.934469,47.7700526,157.4689015,91.41000038,91.02643239,70.93095022,43.09982352,101.056976,17.99997874,261.3634424,0.32642703,60.05631612,111.1178281,245.7898228,763.278629,84.7659172,104.7700924,332.6937087,553.4929682,63.8683613,144.8216604,189.9734161
X14acam27..14acam27_151216.wiff..sample.1..,euccam,acam-27,warm,post_6day,215.5060228,1496.441124,644.1240819,2140.565206,2823.114978,233.7194772,2518.161372,1525.639729,48.97762666,153.4116676,74.1648627,78.79817389,69.11631333,47.16704771,78.91252835,18.99739554,220.906219,0.268500707,51.40743889,54.93331019,143.5762753,610.6665876,87.56609187,88.20478619,221.6657558,543.6496423,55.60873492,139.9976211,156.7000334
X1acam27..1acam27_151218.wiff..sample.1..,euccam,acam-27,warm,pre_heatwave,192.5291288,1559.830423,700.3071011,2260.137524,3236.206677,240.0605215,2643.570257,1485.66142,69.93191089,190.3220652,79.25235469,85.39013173,75.8487957,60.69047663,83.86442338,19.86160035,228.9711082,0.585873867,53.25062575,54.5081464,123.6324115,676.0701708,73.03399354,106.7486441,197.4159422,836.265984,82.5004007,127.3058905,169.6891987
X7acam28..7acam28_151216.wiff..sample.1..,euccam,acam-28,warm,heatwave,244.6937033,1517.47879,563.7572503,2081.236041,2744.30327,257.1447981,2846.455342,1566.343627,59.48958921,165.0143417,82.19618319,84.27807452,66.28179728,38.7662592,109.1296424,15.77887628,232.4781146,0.591211129,51.49925435,82.38504454,189.9750812,662.8976221,62.83279668,81.25397028,251.3095238,511.6735952,54.63315009,130.2131971,246.9612069
X9acam28..9acam28_151214.wiff..sample.1..,euccam,acam-28,warm,post_1day,205.9656133,1543.6116,554.1351853,2097.746785,2716.332708,231.0211403,3053.265245,1903.313185,56.57803545,148.1488949,76.83111955,75.09934731,61.03698251,59.37411323,91.00618644,15.89495631,214.5575545,0.554933273,46.51276144,75.30896105,152.4499642,596.6675445,65.99749914,74.55552908,212.0431905,480.0759322,64.95430281,147.5232415,196.196819
X14acam28..14acam28_151214.wiff..sample.1..,euccam,acam-28,warm,post_6day,226.220901,1162.711615,405.6233906,1568.335006,1964.93971,170.8041545,1944.519405,1181.800858,44.89296616,128.5563368,77.32829236,76.00322986,67.67708914,46.43120864,68.77155591,15.91854943,207.7365512,0.740306545,46.43473814,50.81204962,175.2283275,629.341577,66.69330291,70.34202453,232.0644108,290.1520696,42.60956628,118.6941489,116.5156829
X1acam28..1acam28_151216.wiff..sample.1..,euccam,acam-28,warm,pre_heatwave,172.9101691,1633.094222,639.8005056,2272.894727,3130.024461,251.564079,2867.624885,1646.858791,69.20270603,181.2879618,75.2228942,73.84650833,65.06302653,52.8774398,72.68803496,17.02088636,211.5362368,0.665893085,49.14081061,50.94907313,121.4689252,618.2082289,57.69072947,84.95936731,176.8171759,694.4309356,79.48881857,147.1033752,175.1444902
X7acam7..7acam7_151214.wiff..sample.1..,euccam,acam-7,home,heatwave,302.552648,1502.50959,602.1233947,2104.632985,2817.803822,246.2230461,2709.366427,1514.839094,102.3446412,169.9852516,83.08868164,90.41510523,68.67827488,42.63157927,103.1992567,15.97596828,242.2727939,0.421352131,58.44136658,84.51511255,230.4724821,681.3820035,71.9892112,88.40252197,309.8444185,522.2709652,67.17266792,143.7744513,236.2662362
X9acam7..9acam7_151218.wiff..sample.1..,euccam,acam-7,home,post_1day,241.0432256,1731.253104,709.1702942,2440.423398,3385.910689,313.9371937,3193.478254,1997.35048,84.76220659,161.044512,83.29148558,87.37157045,74.58304887,44.22664842,100.3155354,21.08480998,244.0417784,1.179934136,54.59456255,77.74675502,186.0267766,700.094154,59.17584849,92.62232566,247.2661004,762.4007886,85.40122928,129.8094743,178.9800514
X14acam7..14acam7_151214.wiff..sample.1..,euccam,acam-7,home,post_6day,201.0825634,1677.377463,533.931092,2211.308555,2941.959353,295.2726589,3286.613741,1923.667104,82.45023501,182.3865931,79.04718794,90.27055533,69.29248109,33.63572971,85.66348986,18.68471143,245.4766402,0.400555255,48.56074788,55.79474656,136.3885797,633.7718165,65.76253838,80.8596982,206.1747325,545.7460289,64.12453365,175.9857822,248.0854419
X1acam7..1acam7_151218.wiff..sample.1..,euccam,acam-7,home,pre_heatwave,181.8473277,1423.438772,666.4015541,2089.840326,3024.776826,261.6356183,3146.770011,2045.16425,82.50954376,191.714333,86.37943173,91.53739886,75.21682444,37.41185889,71.63250818,20.32861877,210.8113409,1.359091253,54.72620399,53.41864745,132.6153098,729.4452333,37.68176091,101.1982837,186.7548559,750.5678086,56.69952678,87.05596752,137.4563013
X7acam8..7acam8_151216.wiff..sample.1..,euccam,acam-8,home,heatwave,321.3934788,1402.632264,562.4595384,1965.091802,2656.426698,257.1332438,3038.161279,1820.236253,60.03707058,160.3936928,90.1173101,87.64767074,64.38352087,59.0340067,105.5904659,20.0361639,255.9355378,0.84727,57.0375951,103.2750126,255.1792366,742.7320792,70.68135322,89.10941722,330.576128,548.2958719,53.76003831,134.467761,245.6452377
X9acam8..9acam8_151218.wiff..sample.1..,euccam,acam-8,home,post_1day,239.8492358,854.5233704,378.8887128,1233.412083,1691.542425,165.3353831,2026.878094,1292.119536,41.60957187,137.9375534,81.15894203,75.84025747,54.67176617,56.99389063,86.30266601,19.86961671,173.2573972,0.576885781,53.65855867,83.5137723,182.5812111,641.4649131,64.90833476,81.61920958,246.0874235,362.3488582,35.86179945,52.90387884,128.3234733
X14acam8..14acam8_151218.wiff..sample.1..,euccam,acam-8,home,post_6day,230.2435478,1458.64922,628.7521655,2087.401385,3001.29014,268.8207134,2713.359705,1546.122083,77.98335336,184.9166677,92.81319294,92.63181012,72.87542003,51.12943995,96.89659703,22.40549958,244.5583063,0.809857576,59.65150124,65.26781873,155.2578382,712.5093531,69.1214337,100.9476753,236.0605282,771.350027,73.85747339,121.9489451,177.3954345
X1acam8..1acam8_151218.wiff..sample.1..,euccam,acam-8,home,pre_heatwave,246.2241488,1649.627243,775.273186,2424.900429,3759.057938,339.1916134,4550.045676,2935.073376,91.82553239,245.7549154,124.9935757,118.1684067,86.02919649,57.91092139,83.51466373,28.89847593,312.3316178,1.261239699,68.18127677,84.58505195,178.9132766,1025.709907,59.62960129,145.1151803,251.6638503,1110.933489,77.05375053,120.036217,288.035242
X7bot2..7bot2_151218.wiff..sample.1..,eucbot,bot-2,home,heatwave,418.6031401,867.0901439,433.5683963,1300.65854,1755.715699,153.3743446,2096.116761,1366.368219,34.61976646,85.72862599,67.60594201,66.63583428,56.3200327,39.80212246,85.41563555,16.09729518,164.3502212,0.422587046,42.92683272,78.08405653,380.0923291,532.1006775,46.78618179,65.19804852,426.6359557,366.2778543,36.66566447,48.21452488,136.85006
X9bot2..9bot2_151218.wiff..sample.1..,eucbot,bot-2,home,post_1day,294.6591724,895.9117086,421.6971258,1317.608834,1763.086382,133.3931738,1755.195726,1122.125683,37.33806805,92.08534633,73.0309882,69.52580528,60.55634888,53.51822925,73.87740821,18.059804,159.5875746,0.825271751,47.07234654,83.57870959,251.9116677,591.5100687,59.54192396,71.66857472,302.2160197,359.5739302,39.19660897,53.5039555,141.9922204
X14bot2..14bot2_151218.wiff..sample.1..,eucbot,bot-2,home,post_6day,142.3202254,768.8340078,370.5702984,1139.404306,1554.523521,126.0161327,1607.504615,1027.020981,37.36200064,99.32903277,53.01184931,59.82564319,49.8505125,42.98363413,64.53386156,16.97773148,123.5255423,0.309438875,35.58980141,39.08918244,101.042485,438.5733244,48.81703588,61.52077005,146.1886434,330.9070637,35.25570699,47.67957455,110.3765577
X1bot2..1bot2_151216.wiff..sample.1..,eucbot,bot-2,home,pre_heatwave,181.0177346,1239.656797,567.8082201,1807.465018,2480.76728,225.733456,3001.874751,1859.690568,85.76826646,163.7231695,72.20116843,86.98366838,71.45127925,51.08318104,83.50302819,31.82472787,203.4407206,0.420712511,49.84962359,54.43255012,125.7823245,666.6911653,58.211919,94.29142343,186.2966006,501.3398015,43.48491678,101.7610558,229.0789027
X3bot24..3bot24_151216.wiff..sample.1..,eucbot,bot-24,warm,heatwave,339.38425,769.5426243,301.7782067,1071.320831,1373.656111,126.5717071,1409.627999,839.3870291,27.55111454,82.77591662,52.66290251,55.7169824,43.97043985,30.31075343,74.29789036,11.27827745,145.8490588,0.512606727,34.94517215,63.03643374,304.6114094,415.2847969,43.68745313,48.19098007,345.7256985,240.8454318,26.21358497,59.8170789,81.73950828
X9bot24..9bot24_151216.wiff..sample.1..,eucbot,bot-24,warm,post_1day,194.1960483,505.7808606,184.6047762,690.3856368,864.7989238,85.98079546,936.804425,583.9437349,17.39051786,57.40209187,37.18296775,39.34775968,28.35327195,19.50820192,59.87162554,8.268150729,92.2239768,0.337273659,23.07001501,41.28883671,168.2861574,277.7200891,26.0639323,32.1731156,198.248171,133.6942476,18.7264103,43.43596048,49.6153493
X14bot24..14bot24_151214.wiff..sample.1..,eucbot,bot-24,warm,post_6day,182.2723336,771.1760367,337.4138312,1108.589868,1429.839952,119.4126832,1359.68837,824.4404401,29.52078556,98.84881375,56.72652954,65.35774872,44.54003091,52.44858163,84.00820592,16.60182103,144.6130305,0.693441018,36.67435848,36.19566616,139.9347171,428.9131458,51.88235612,54.0919753,186.9314355,257.2817606,43.57356727,73.41146111,92.19476673
X1bot24..1bot24_151214.wiff..sample.1..,eucbot,bot-24,warm,pre_heatwave,141.0449229,929.513099,362.4715333,1291.984632,1696.197177,147.5083276,2164.615264,1362.392222,37.30464678,127.9444519,56.57178907,66.83601157,57.02839644,60.84058671,89.38965876,15.57606821,157.3458482,0.98888957,38.92903928,39.56146613,96.75988451,498.9499871,53.60496131,69.9521196,145.4906683,317.8702134,31.3371152,81.24631546,142.2122732
